OA11CD,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Population_3_and_over,Total_Population_school_census,Total_Population_census,Total_Households_census,Total_Population_16_and_over_census,Total_Population_16_to_74_census,Total_Population_3_and_over_census,RM2018_01,RM2018_02,RM2018_03,RM2018_04,RM2018_05,RM2018_06,RM2018_07,RM2018_08,RM2018_09,RM2018_10,RM2018_11,RM2018_12,RM2018_13,RM2018_14,RM2018_15,RM2018_17,RM2018_18,RM2018_21,RM2018_22,RM2018_23,RM2018_24,RM2018_25,RM2018_26,RM2018_27,RM2018_28,RM2018_29,RM2018_30,RM2018_31,RM2018_32,RM2018_33,RM2018_34,RM2018_35,RM2018_36,RM2018_40,RM2018_41,RM2018_42,RM2018_43
E00000309,323,117,197,192,303,93,263,114,163,158,240,38,79,102,29,12,1,0,153,30,8,10,3,10,94,10,33,56,13,34,4,7,32,25,1,12,96,9,0,79.79625707,21,77,9,22,11,1,48,22
E00000310,520,208,352,326,486,106,302,139,231,188,280,57,103,170,58,45,4,0,214,82,12,27,22,19,116,7,49,118,29,59,8,36,45,24,1,76,63,69,0,134.1952678,31,62,18,54,13,2,61,21
E00000311,453,141,319,298,431,83,397,135,291,272,380,36,94,126,52,42,6,0,173,78,5,12,2,9,158,10,35,80,36,44,16,17,11,14,3,86,20,35,0,87.64004851,49,117,26,56,5,3,25,10
E00000312,314,124,236,220,303,60,289,123,225,198,278,22,53,74,48,40,2,0,166,51,2,2,11,7,63,8,26,84,30,23,12,23,19,15,1,69,30,23,0,100.0168686,30,81,18,35,7,3,19,11
E00000313,464,147,327,302,445,85,420,144,330,293,403,38,95,140,66,51,1,0,137,98,17,18,10,14,153,10,44,85,26,44,20,12,27,13,4,101,10,32,0,98.40708637,46,101,41,74,5,4,7,8
E00000314,487,143,362,292,466,79,432,136,345,274,412,32,82,128,47,71,20,62,260,77,4,9,16,5,66,24,31,85,32,40,19,11,23,12,5,66,46,29,0,161.1556184,39,111,30,32,9,8,27,12
E00000315,299,111,220,203,292,66,284,112,204,184,263,13,61,93,41,25,3,0,142,67,16,5,0,8,40,15,32,65,24,33,12,11,18,11,1,50,39,22,0,119.707459,30,68,20,28,7,2,32,2
E00000316,421,144,291,272,400,85,357,134,254,233,336,44,81,134,47,40,2,0,141,123,7,16,7,13,91,9,55,78,21,45,13,14,30,16,4,78,19,47,0,78.74409477,23,82,18,53,5,10,15,8
E00000317,247,105,163,159,228,57,233,103,155,147,212,35,46,91,25,8,2,0,133,32,1,0,2,5,66,7,16,58,22,22,2,8,26,24,0,17,80,8,0,108.0097518,18,59,14,31,7,3,44,11
E00000318,217,111,177,173,208,25,213,112,179,164,201,18,21,58,53,20,0,0,102,35,1,6,6,0,59,2,14,89,19,15,6,11,53,4,1,26,74,11,0,141.6360578,28,61,15,32,5,1,32,4
