"OA","RM2018_01","RM2018_02","RM2018_03","RM2018_04","RM2018_05","RM2018_06","RM2018_08","RM2018_09","RM2018_10","RM2018_11","RM2018_12","RM2018_13","RM2018_14","RM2018_15","RM2018_17","RM2018_18","RM2018_21","RM2018_22","RM2018_23","RM2018_24","RM2018_25","RM2018_26","RM2018_27","RM2018_28","RM2018_29","RM2018_30","RM2018_31","RM2018_40","RM2018_41","RM2018_42","RM2018_43","Cluster"
"RM108PL",0.595715462480984,0.735022895978497,0.823656586097615,0.690592481837937,0.706148286591314,0,0.781074774086932,0.781620181863777,0.574527217044451,0,0.307495214997758,0.525727730238353,0.778746100042246,0.524884821230306,0.914700039627276,0.887176153562039,0.642145488287733,0.738423925006285,0.756399515809716,0.446077507908808,0.51787128842715,0.586044626564053,0.66244580246419,0.911299685444684,0.607826330621298,0.738423925006285,0,0.436445624254457,0.392204428548663,0.622853082018339,0.418840623915933,2
"RM108PT",0.680299536437674,0.735609500755526,0.828727150411783,0.713555679261519,0.510256053730714,0.156422441067198,0.817880082600877,0.802875587668383,0,0,0.45054709301708,0,0.787585108232891,0.151533470623194,0.840103429023699,0.873528903449508,0.682719240717576,0.835663560875075,0.594223407775901,0.564491316221796,0.601100951421025,0.308917367078597,0.385977262216783,0.889948402331368,0.774268579452416,0.594223407775901,0,0.298287835496822,0.376299384802575,0.699597503121498,0.709357015195404,2
"RM108PU",0.429498014165865,0.892025178981469,0.813593567874447,0.769621394619335,0.394075022871384,0.255100169417063,0.846965593982377,0.716349883537674,0,0,0,0.269142577413016,0.783016601995843,0.67932301833289,0.720451079075819,0.834787994601473,0.607826330621298,0.852771958518652,0,0.621240401408687,0.669653215087845,0.550620390304253,0.521259830885074,0.884295080718885,0.738423925006285,0.704046038213379,0,0,0.766791826755665,0.412794772135217,0.783911575167514,2
"RM108PX",0.543631569269595,0.741565319247016,0.874678964216857,0.656263080576785,0.455920279931652,0,0.869190749333675,0.709011114407888,0,0.343474998914529,0.508726340547055,0.276803550482727,0.7101789072537,0.48970050005442,0.856171945418371,0.918701224065018,0.827085632764784,0.738423925006285,0.642145488287733,0,0.572428918922942,0.451998429279219,0.564750107478068,0.887176153562039,0.738423925006285,0.696350596921783,0,0.436445624254457,0,0.756679324925131,0.619970815825954,2
"RM108QA",0.552954973220781,0.825416144821705,0.813277557640762,0.746925539835619,0.436770013507294,0.121661686309758,0.846478650755639,0.746848862224526,0.101493497474081,0.344460051560662,0.501715612726726,0.381435582359109,0.737639720111528,0.215021359265463,0.75979809119147,0.859343375990192,0.665157871771378,0.837959243112482,0.365209663600765,0.54662701538145,0.691024523645071,0.510643717262675,0.472572493132184,0.878549808663504,0.775982351527934,0.665157871771378,0,0.493072987682108,0.554515038723126,0.716812435621463,0.696350596921783,2
"RM108QB",0.707004106853614,0.821004996525179,0.876903667376009,0.755004530281521,0.340530095479916,0,0.776273233812681,0.569437747395204,0,0.683655109563227,0,0,0.901866496339983,0,0.889072726289051,0.869190749333675,0.772811936598714,0.827085632764784,0,0.578367776538333,0.572428918922942,0.586044626564053,0,0.827085632764784,0.696350596921783,0.827085632764784,0,0,0,0.713565855257875,0,6
"RM108QD",0.596391524232388,0.785136643231526,0.785583846572034,0.776834356055493,0.439493219428493,0,0.924585960900092,0.691672391851415,0.32625236392911,0.327112439700641,0,0.259523747941739,0.315522848068839,0.588641228352887,0.619970815825954,0.89057638324359,0.784986482115879,0.730725666487118,0,0.668740780162136,0.530091675109164,0.721165154477037,0,0.845069195747998,0.827085632764784,0.600147219314967,0,0.395352433405783,0.661075846362806,0.748790749186834,0.881369353644558,1
"RM108QH",0,0.810950909976929,0.845869600106736,0.796307903837165,0.356575629958305,0.295708668416619,0.801073683832536,0.757691098532801,0.558199292380777,0,0.608143323980687,0.474015907650243,0.728583532203394,0,0.939899793948084,0.903596039974303,0.827085632764784,0.696350596921783,0.436445624254457,0,0.649577682247827,0.665028438698634,0.564750107478068,0.918701224065018,0.696350596921783,0.642145488287733,0,0.436445624254457,0.550589733681842,0.579869163918091,0.809103143579341,2
"RM108QJ",0.547254087656856,0.793486432081743,0.827556839664003,0.699538898512818,0.557740951230857,0,0.6922076268162,0.76264656421867,0,0.58780044597067,0.649149354119003,0,0.82846539395068,0.361627998450606,0.957886924859061,0.911299685444684,0.780512502426345,0.684185927714699,0.47789815926988,0.621240401408687,0.614861314539468,0.494928131572876,0,0.869190749333675,0.738423925006285,0.738423925006285,0,0.47789815926988,0.766791826755665,0.622853082018339,0,6
"RM108QL",0.674330878115638,0.80079283597021,0.845869600106736,0.696286118266498,0.312510737094546,0.248204925087164,0.873630987441045,0.826093254186656,0,0.207605174851395,0.45054709301708,0,0.608147599150336,0,0.79268754492734,0.886621947598753,0.719230656321272,0.804482541018236,0.356249696191765,0.494494720548891,0.727555034265714,0.579668262561292,0,0.744411480233247,0.886621947598753,0.690169882012405,0,0.356249696191765,0,0.8059457113473,0.619970815825954,1
"RM108QZ",0.815798290712272,0.785332250949079,0.899363781688453,0.683945848814954,0.227502647657657,0,0.568581847222357,0.54141750410843,0.239133511116119,0,0.432870779884352,0,0.990694038124159,0.277693404402393,0.930601384847981,0.862569045932541,0.572247239464096,0.779207022858791,0,0.376434413792573,0.808331875754003,0.692196515402098,0,0,0,1,0,0,0,0.377411601494068,0.516683576274553,5
"RM108RF",0.669346292936899,0.782609774067673,0.85502182630687,0.508922603341098,0.649596556651483,0,0.905053284809417,0.533827079568204,0,0,0,0,0.813470153501513,0,0.763608734257113,0.90071488991941,0.547989023548127,0.62420068671738,0.547989023548127,0.560082549580592,0.792984570276057,0.702561047878982,0,0.418840623915933,0.991220352522552,0,0,0.418840623915933,0,0.907504266346291,0.894388811693048,7
"RM108RG",0.6332303045375,0.807902768274842,0.853613389625143,0.643927342582545,0.434121423383722,0.150967546746802,0.862921094302676,0.588220538009708,0.29237472166533,0.508240120720212,0.215426795006563,0.43794756233664,0.779658143361495,0.452375320926102,0.840103429023699,0.894388811693048,0.687154092750449,0.729223082090792,0.234457087331564,0.569005027050903,0.761540977912064,0.694658884251718,0.303381814162255,0.427424614774864,0.974370523682292,0.522534396301679,0,0.670756380425069,0,0.79293752273302,0.667298966598519,7
"RM108RL",0,0.84646476420956,0.852064336260296,0.823005742030092,0.362284207772361,0,0.830010966191236,0.763904709930844,0.380805654433054,0,0.583720066610269,0,0.718826575702283,0,0.936499339591827,0.898279876740151,0.79268754492734,0.79268754492734,0,0.543407577549272,0.669653215087845,0,0,0.79268754492734,0.79268754492734,0.79268754492734,0,0.531674104170656,0,0.756679324925131,0,6
"RM108RP",0.529749748201158,0.775472150317142,0.795858404971532,0.787057303314477,0.584847667821042,0,0.92158244462301,0.606072600833578,0,0,0.287209096466092,0,0.73160714770248,0,0.79268754492734,0.928381143291016,0.811569425402774,0.748097580522071,0.575514757181002,0.588215746432523,0.58217576684358,0.461839115535288,0,0.782487836902409,0.896855641012511,0.575514757181002,0,0.445947702531524,0.562576901056772,0.589742698199363,0.716213784220562,1
"RM108RQ",0.705536653159659,0.616748980846484,0.927505467015686,0.767167288268116,0.380651893008039,0,0.865908929654677,0.474169599705209,0,0.482224416640851,0.431192467359829,0.340473299088229,0.81307549241104,0.185814026130641,0.77758778951602,0.944818948894694,0.534295297895754,0.610457778920997,0,0.468700964719096,0.915838355586069,0.60926954678062,0,0.563215720209527,0.965058650854924,0.500171284334382,0,0.563215720209527,0.511429301673545,0.822880088923591,0.723329892166131,7
