"OA","RM2018_01","RM2018_02","RM2018_03","RM2018_04","RM2018_05","RM2018_06","RM2018_07","RM2018_08","RM2018_09","RM2018_10","RM2018_11","RM2018_12","RM2018_13","RM2018_14","RM2018_15","RM2018_17","RM2018_18","RM2018_21","RM2018_22","RM2018_23","RM2018_24","RM2018_25","RM2018_26","RM2018_27","RM2018_28","RM2018_29","RM2018_30","RM2018_31","RM2018_32","RM2018_33","RM2018_34","RM2018_35","RM2018_36","RM2018_40","RM2018_41","RM2018_42","RM2018_43","Cluster"
"E00000179",0.725737228489311,0.705411658786792,0.457365558182998,0.84527316524948,0.67358407849089,0.106516721538886,0,0.641691136649623,0.859231876040817,0.57654414794499,0.3472998837314,0.812333481220175,0.343476447709515,0.719967254319326,0.331614760851975,0.877185690954638,0.725872003490895,0.885693033846749,0.88793105564177,0.78695491977195,0.687661361469048,0.674094188736207,0.644730959950319,0.421146735777051,0.928026743031951,0.240187828802796,0.790843120458336,0,0.664068665264616,0.715257694030495,0.752271743197525,0.801224076638759,0.413134909725853,0.792860750249125,0.772035941793366,0.526345718961988,0.556718843322457,8
"E00000180",0.617869832960765,0.692763926997356,0.47553758979586,0.890032364462948,0.667719851104548,0,0,0.631100360110331,0.797420609643065,0.478348047575362,0.351968121485412,0.777176463661432,0.85846440524904,0.772138695974187,0.108901303624037,0.651726280536559,0.733088915449157,0.891339368956803,0.880869086255859,0.872526887900675,0.617202011505923,0.640660095262816,0.509522752644549,0.708515791709347,0.938434945995924,0.171781855104218,0.732300124260979,0,0.683889661400913,0.910304835994747,0.731003181220343,0.545021074431584,0.619214906641848,0.603143220091837,0.798036328860309,0.544071826884179,0.592771363407106,8
"E00000181",0.534211186908605,0.471935042459252,0.434891681953844,0.908661138454523,0.782635362879277,0.263387827914842,1,0.986144614447424,0.684468657380505,0.334474526389576,0.0779359245509827,0.249235678238511,0,0.416229708809197,0.326052367471684,0.200927995540909,0.902873642436855,0.878356004714043,0.703702685571022,0.865624146738536,0.615855897069283,0.829847992554307,0.391421002149307,0.634734378545566,0.975240424040052,0.241512001201079,0.594877751657038,0,0.666290335953786,0.771717491419007,0.916557211206492,0.82105098021159,0.313157859846252,0.212365052417785,0.602228960957634,0.352073443590271,0.716213784220562,1
"E00000182",0.724287001467115,0.579289708770529,0.456525105474503,0.800149785027289,0.708751954155396,0.23463154648584,0,0.919557383263011,0.750548116384778,0.398336278906847,0.518568625340164,0.384533346837233,0.0934148344143798,0.561279537108206,0,0.389694257462362,0.790552491098046,0.929599054814655,0.846257127063668,0.744626493350631,0.779140587079213,0.646306351203048,0.532278518243229,0.667903268632288,0.946847366603544,0.570318628635765,0.655146866314496,0,0.612854311178822,0.696619177547947,0.868748805925995,0.630677663396332,0.282609584500012,0.23157354717089,0.702254461531673,0.665536065232846,0.306575920318658,1
"E00000183",0.557381887828609,0.504777359376986,0.366712707482365,0.893963771456675,0.791473524622643,0.608408168730173,0,0.911945733378879,0.796102281944389,0.459182780702499,0.405989112406788,0.0746469357094502,0.587076884587374,0.295573455656057,0.121662877357654,0.746564457662569,0.905408366237971,0.902421026035819,0.756986251848993,0.929769899523059,0.737472757754542,0.720654117349744,0.396962536215521,0.43058148772448,0.953474492200421,0.470269012077285,0.651654030755382,0,0.771435394896229,0.847521101504994,0.825993541361913,0.714973704306734,0.397019792161546,0.366544130782922,0.824075438108344,0.586988537963976,0.572247239464096,1
"E00000184",0.693891658085127,0.423849510364361,0.426298146073917,0.818074577858049,0.68688278945713,0.11305674311973,0,0.958451171594691,0.716742171448875,0.198954253471263,0.331974203539415,0.478233205400143,0.359099472039716,0.220817558479989,0.516553997161579,0.649686579261578,0.773872835645391,0.989333155254392,0.883410611125462,0.809508286588015,0.678671074324174,0.51971426048734,0.309648800253083,0.551995419568432,0.985157835418186,0.145299947508225,0.506014803330147,0,0.684365757498817,0.930905257454806,0.92563614948435,0.843157826491264,0.302769393620583,0.216879656060847,0.408530955191189,0.164797679147196,0.368306291632499,1
"E00000185",0.607869613790737,0.427289632682801,0.520788558981948,0.864102101234749,0.675200133011926,0.144098577042444,0,0.975069914301709,0.702466461633039,0.239870346622283,0.441555420340747,0.421551375044852,0.110495082447297,0.00711586112254788,0.600073578187239,0.513115781022264,0.885988272600328,0.983976409271812,0.776999502149017,0.814139287644656,0.673709388896445,0.730436437570958,0.495556761809688,0,0.976622414024965,0.163707615081341,0.533806779565894,0,0.735038676686256,0.8722916420504,0.865676648944545,0.828087634904854,0.483293550280505,0,0.869336337278971,0.185675462977028,0.489935362802953,1
"E00000186",0.67200104325632,0.600922780437162,0.376698448951312,0.85481437309505,0.75178291780515,0.108426487612124,0,0.901267937861399,0.757029491215859,0.450157404500844,0.399672050025231,0.483006751109802,0.542798017739273,0.547385203934839,0.39881798110897,0.23986255034784,0.777667653458204,0.94339063371394,0.865049364576738,0.915986028450194,0.608815556614123,0.552533044520068,0.543187378736003,0.534345530108485,0.976078462995068,0,0.616330842531038,0,0.683705043288921,0.872446920010341,0.79707825065545,0.785840111058805,0.362694659716823,0.352703991852279,0.716646919030355,0.345641094766093,0.485834002994031,1
"E00000187",0.733755089841287,0.609712162682239,0.355895030367556,0.879746142952823,0.721646628903854,0.431717435378447,0,0.826102318045779,0.783560706455784,0.12177713052821,0.455842918165714,0.64993058486532,0.331041808983486,0.739901675184835,0.598731358797227,0.435233042960996,0.839047293047344,0.874594207667305,0.787031922355033,0.704838043862515,0.847032678032855,0.720654117349744,0.624613551276335,0.254769772917624,0.820634499721125,0.857563670247012,0.673219303571811,0,0.768619659903955,0.852682027609535,0.736408164779659,0.50451955464011,0.394890051234151,0.547103444887042,0.677995400178331,0.913240413772446,0.712754165528647,6
"E00000188",0.736244882848176,0.470166661714344,0.457262040408194,0.771777943725542,0.760231436335282,0.461252392854493,0,0.927826886470677,0.838924379080832,0.304382374912525,0.148270507755781,0.386176463785317,0.283821284751467,0.318698861039138,0.473437743934797,0.501439030897527,0.820472555154264,0.950242007968406,0.798330030574597,0.859668078155889,0.745451274868752,0.58308946371308,0.579479227910299,0.746138345438854,0.945707051341253,0.667184502154481,0.547378164992671,0,0.852211852406772,0.914904729775978,0.785543164878743,0.774669452621189,0.132158403785302,0.495659750120739,0.639301557505708,0.686683045654407,0,1
"E00000189",0.665244096037382,0.311211941584796,0.305143020859473,0.926803982941912,0.823409353800783,0.139846509196372,0,0.924704169335456,0.793491946111606,0.307563466381198,0.37885566982419,0.330007302271472,0.358040309015903,0.489169744825217,0.122860365288036,0.492279080448851,0.903481191420552,0.969129677762925,0.745461843705523,0.950711080359805,0.706242516760155,0.61030556008628,0.474099711964308,0.445508721925393,0.967253804135823,0.323992282236428,0.624058011497097,0,0.744970255074079,1,0.841749267028853,0.655927291034343,0.40512561909353,0.226472462953599,0.84027781299833,0.367468654254981,0.646913606850803,1
"E00000190",0.794099515198097,0.559754020967184,0.355697263313235,0.868160630188894,0.78148947467879,0.50926098896229,0,0.939003517191327,0.70769928577182,0.387677408996294,0.233186362088792,0,0.45241739624831,0.626175752210954,0.578924640852345,0.226832085168926,0.805881094530349,0.820480017154453,0.770827279965576,0.837371624196791,0.762856626909482,0.734438690575434,0.72798304847696,0.588126442104446,0.913424072508068,0.761352600730411,0.5713309724289,0,0.717804228438005,0.917664825084189,0.81243696732628,0.698715207607653,0.238645953676244,0.23871947305958,0.770351342434834,0.74843028133186,0.750595682458853,6
"E00000191",0.776529582868242,0.57847359707553,0.590304093794341,0.842538731087003,0.689482423622219,0.132867009557735,0,0.911692273448073,0.771093990602331,0.376083087144674,0.581601913376994,0.193790257869253,0.403314113502646,0.558261791031011,0.116728614985091,0.334380487667518,0.802406882797957,0.859491774963513,0.801997310980759,0.742451222439344,0.739440222234067,0.76782777057206,0.694247669699519,0.573669855195604,0.949633055967694,0,0.739974260576887,0,0.699308066521815,0.584598779471883,0.82262992202111,1,0.464987709784383,0.56609398408837,0.755998532618612,0.515412003048755,0.674991082425794,1
"E00000192",0.797414761036823,0.440983872258529,0.644105382189279,0.843802169947966,0.622597425597959,0.585278179442792,0,0.861130078902339,0.781847185480583,0.446483368320511,0.442030582792855,0.315483322558163,0.100008927884631,0.685514762871921,0.610414162110562,0.709570919579693,0.808714596585831,0.883357092865705,0.847326610944613,0.706355380248036,0.661007480712137,0.802754309873066,0.573926653016628,0.237867726054586,0.969929716469896,0,0.657573661956777,0,0.745726473507163,0.698653502005986,0.75861729097589,0.80514338734737,0.609924458719853,0.347070364578528,0.709363309138365,0.445335696899572,0.445947702531524,1
"E00000193",0.798385191453396,0.459680011207637,0.607514833825041,0.833886273559015,0.667331322388637,0,0,0.845951886105097,0.878315161792901,0.300648241195645,0.450032244296119,0.139076564905537,0.757796707545052,0.594876695034237,0.467179909681332,0.609983467238467,0.807984817717318,0.843752177622519,0.824526152017654,0.717257292696645,0.653430881966692,0.823548563692546,0.636894250895748,0.266038498062704,0.901356111556592,0.610909182040326,0.784437277493781,0,0.573007867803208,0.89472653951473,0.819262016194833,0.787602215894837,0.568027422710847,0.379251342405239,0.252414385731165,0.676954271247163,0.524026589664096,6
"E00000194",0.598165341176841,0.389055779710261,0.37665358609399,0.866322668373087,0.803425936302618,0.353049550905056,0.389063694528747,0.986529179162571,0.52028265896844,0.488501434446048,0.329793224447495,0.0700874047744991,0.397238225844938,0.458432236294929,0.513160379658636,0.231275266797748,0.910015500787231,0.932395931597459,0.764742130312876,0.921405224465897,0.687305459430521,0.73328489000146,0.374018969222705,0.233203728347231,0.973980190825428,0.228859662033917,0.593973735881569,0,0.787664228386816,0.81618990210026,0.76229136047365,0.592616132699375,0.364373754877655,0.442741770218424,0.750050537345883,0.394377461240351,0.466608570146064,1
"E00000195",0.632102339833447,0.492771320305943,0.449797984406137,0.898058926864291,0.718039097072086,0.869289145224412,0.915246534345734,0.95236518922589,0.723154346771664,0.217181960987789,0.309487582061036,0.345889838013058,0.551653891645831,0.341062300904142,0.433579346024287,0.247126448206549,0.755640933785545,0.911014418290217,0.868564505688718,0.6402448469614,0.564343805867387,0.787733751730986,0.655217840321265,0.186347250339226,0.845573040318683,0.519624026236862,0.883086390615957,0,0.927018577019678,0.71539216401413,0.785505408113089,0.489307287496613,0.247002886635159,0.510977767070297,0.176804210930333,0.746333944818469,0.678386638660174,6
"E00000196",0.629859614598319,0.667669129722447,0.282856611041561,0.816531643283546,0.841456649788506,0.51693173780461,0,0.922013601621548,0.69919812552732,0.32196372530217,0,0.460169285801425,0.09939933869574,0.69883434937853,0.218373945799649,0.290704903663232,0.874306174162831,0.812322783345179,0.806170903425319,0.780731687618806,0.922023151993038,0.666472541258981,0.472877590716456,0,0.891712043866154,0.217398144067044,0.838064680840709,0,0.816322965053002,0.737759246311522,0.766504511308381,0.627252185521708,0.427078901766744,0.18629163803655,0.62388465146969,0.869812861476487,0.575514757181002,1
"E00000197",0.737662823411069,0.597130432250253,0.456300485569577,0.864102101234749,0.725326683429523,0.477475720248436,0,0.903093847581299,0.744310271638523,0.467651131998638,0.217109968953428,0.336329086356039,0.366129355044868,0.61147236583731,0.789104773374398,0.334380487667518,0.772236060801136,0.883118342226872,0.85380698685333,0.813847213680225,0.712140866240326,0.696340871883675,0.611599580658934,0.453347434291987,0.968316336164985,0,0.655146866314496,0,0.698576134670773,0.929137754419983,0.758720285544968,0.807707117061335,0.341101169654055,0.63008016386443,0.848711176520588,0.432032840100762,0.502822246145097,1
"E00000198",0.958716142227144,0.927294995020387,0.654816379426521,0.655061970994544,0.314717463232369,0,0,0.84980903916539,0.572225072016151,0.153115143634381,0.238808425044768,0.324311917320243,0.601296274970596,0.79580200981524,1,0.355487681421525,0.511072508621511,0.627723625310147,0.817043696012562,0.44124416595994,0.195383250378668,0.83205729274582,1,0,0.274167590701267,1,0.282265680275357,0,0.652204494146068,0.658730675115791,0.851936250366813,0.832686282685121,0.225291289123014,0.949311324262686,0,1,0.802619191290687,7
"E00000199",0.80762078736417,0.731024065142303,0.590231228364371,0.784050322054041,0.620615236571893,0.185554866380403,0.221343409119839,0.69814401952778,0.814760160984509,0.309286586520335,0.682250783375068,0.599920925318065,0.472083773760635,0.776039569564543,0.76083643553029,0.638356960200133,0.68867886150275,0.794715816784826,0.900021843264987,0.665450031532365,0.654985131601592,0.779509137545305,0.617932215922016,0.563297848585296,0.80347094091253,0.775109775973818,0.823572425748362,0,0.658550809812026,0.74803598459093,0.734789792612172,0.841779784787128,0.493841695321567,0.75824931463345,0.704268187548613,0.836920466726962,0.610192961311509,5
"E00000200",0.730697274739203,0.709101378171299,0.563095259892371,0.821741461456353,0.64534210189355,0.11215902237343,0,0.849294514762499,0.86562475647335,0.362435431802937,0.407337281690345,0.503973217398884,0.356986969363091,0.626197157853438,0.464618435558491,0.52505511758991,0.681535530538552,0.8937877243168,0.895708400380911,0.708223176108576,0.694046965882098,0.654784364039119,0.68300132940163,0.529508525091672,0.874997412909132,0.800385654467721,0.659082386791452,0,0.687570091074973,0.85740037452987,0.868040375945209,0.651121273384508,0.336889730616141,0.681554036136144,0.502391834541659,0.763340926493442,0.62420068671738,6
"E00000201",0.756622246167305,0.642972133085609,0.625738320025059,0.848187540165131,0.559107508649208,0,0,0.439091121344135,0.932051730963651,0.613031805002078,0.707805208515249,0.624238714136263,0.65894371670845,0.67480812742183,0.613024619221556,0.832564852026298,0.682150856738465,0.92731841542013,0.921649425215409,0.596758873433375,0.598303018029777,0.711384145881586,0.513891198634087,0.642685547127647,0.905175231492394,0.470269012077285,0.812809147402764,0,0.681075597165729,0.774558335691704,0.66108439306486,0.667381039854592,0.621841005008126,0.829068037723824,0.60977294180291,0.609542403284771,0.450894817230333,8
"E00000202",0.770365117940458,0.80083843526917,0.576104812846123,0.834023530544614,0.66081170725382,0.108149525744109,0,0.796276792901858,0.845100538512772,0.151403230469584,0.37599346463882,0.606655270312752,0.395392435172341,0.766711679662038,0.184337529739242,0.631673406530179,0.652025882440654,0.807063261325463,0.904283575322961,0.754440701674532,0.67219633173539,0.699996182122711,0.749668180033965,0.233203728347231,0.888213009232739,0.771033826486216,0.66306117191571,0,0.719045055010721,0.763202251499234,0.654946167677581,0.616504285650192,0.323338393358298,0.799820474781738,0.493456866718974,0.736191706193277,0.46443266301503,6
"E00000203",0.761135959283413,0.703355910817495,0.564691172575845,0.822994622445173,0.582601232019401,0.101653709883339,0,0.738092741737164,0.867331905612471,0.378668505496115,0.490809589975545,0.548676616700397,0.625201323502848,0.768731004322495,0.433579346024287,0.610558183653813,0.658646352606282,0.903932159835399,0.897396292713986,0.763727116152263,0.410058014014297,0.698421370632996,0.72471383863331,0.621942936915663,0.903100081743714,0.656420473940049,0.755593403697622,0,0.694099330383595,0.746288786801625,0.784635109175539,0.453346291275969,0.379075254094808,0.683744882451323,0.228730461033472,0.721825144292329,0.57305875833421,5
"E00000204",0.830686274890247,0.744323665399987,0.560120873090654,0.768911804612163,0.564136098359392,0.108149525744109,0,0.729619302753651,0.915867423685953,0.422405556149958,0.519290242035736,0.508370039665328,0.476167164497164,0.741190032247381,0.398053929802401,0.513115781022264,0.645099967573168,0.917591948392936,0.912791248427987,0.672116373337925,0.612306907279088,0.649038231638967,0.748121725349259,0.246045143356905,0.856606226523651,0.810793530173786,0.69367258382649,0,0.676669196717698,0.761813324155995,0.843854917488865,0.700928914600249,0.328992489707907,0.760917110167059,0.597310586138808,0.749652584238678,0.683346419757809,5
