POSTCODE,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Population_3_and_over,Total_Population_school_census,RM2018_01,RM2018_02,RM2018_02a,RM2018_03,RM2018_04,RM2018_05,RM2018_06,RM2018_08,RM2018_09,RM2018_10,RM2018_11,RM2018_12,RM2018_13,RM2018_14,RM2018_15,RM2018_17,RM2018_18,RM2018_21,RM2018_22,RM2018_23,RM2018_24,RM2018_25,RM2018_26,RM2018_27,RM2018_28,RM2018_29,RM2018_30,RM2018_31,RM2018_40,RM2018_41,RM2018_42,RM2018_43
RM95AX,153,52,104,101,140,32,21,26,26,43,13,12,1,70,29,8,2,2,5,32,1,14,27,11,13,4,4,8,8,4,23,21,8,0,7,4,8,7
RM95AY,38,6,28,27,36,10,2,8,10,11,2,2,0,10,24,0,0,0,0,0,0,8,2,1,4,1,0,0,0,0,3,0,3,0,1,0,0,0
RM95AZ,49,18,34,28,48,16,2,12,5,14,3,9,0,18,16,0,0,0,4,9,0,13,11,2,5,4,2,3,2,0,10,3,5,0,3,2,1,2
RM95BA,100,31,77,73,95,12,8,15,14,32,17,9,0,46,20,1,7,1,0,21,0,5,21,11,5,4,1,5,4,1,16,9,6,0,0,0,5,2
RM95BB,111,33,70,69,102,25,15,23,18,34,11,3,0,35,27,9,10,2,1,19,1,15,15,7,13,0,1,7,4,1,16,9,8,0,3,0,8,3
RM95BD,154,46,114,106,146,26,15,22,19,46,17,18,1,65,21,1,1,4,1,49,3,9,25,8,14,10,0,7,4,2,26,12,8,0,5,2,7,4
RM95BE,58,26,39,35,53,13,8,11,6,16,6,7,0,26,18,0,0,6,1,6,1,10,19,6,3,2,4,7,4,0,5,13,8,0,2,1,15,4
RM95BH,116,38,86,84,111,19,12,18,10,39,21,10,1,45,32,7,0,2,1,28,0,8,20,8,16,3,5,4,2,0,24,9,5,0,2,1,4,2
RM95BJ,135,46,95,91,126,28,14,26,13,39,15,13,0,55,29,9,5,7,2,22,3,17,28,14,13,5,4,5,2,2,26,12,8,0,2,2,9,6
RM95BL,39,17,30,28,39,9,0,9,4,10,6,6,0,23,10,0,0,0,1,5,0,4,11,4,3,2,3,2,2,1,7,6,4,0,1,0,4,2
RM95BP,107,39,78,75,100,18,13,16,7,39,13,7,1,37,41,0,4,3,0,17,1,10,21,7,12,4,2,8,4,2,25,9,4,0,2,1,5,5
RM95BU,76,53,63,60,69,5,10,3,5,31,7,7,2,46,13,0,0,7,1,8,1,1,44,5,5,1,7,31,3,0,9,36,8,0,4,1,15,1
RM95BX,63,33,49,35,61,12,3,11,3,14,4,17,4,35,10,0,7,0,0,10,0,7,27,2,5,3,14,8,0,1,11,20,2,0,2,0,11,0
RM95DB,124,34,81,76,113,27,14,25,12,44,13,9,0,51,14,9,17,13,3,13,0,8,16,6,15,4,3,3,3,0,16,12,6,0,0,0,8,10
RM95DD,88,27,49,47,83,28,11,27,8,25,10,4,0,46,11,0,0,3,3,16,3,6,9,2,11,2,0,5,5,1,13,9,5,0,3,1,2,2
RM95DG,27,24,27,15,27,0,0,0,0,0,1,19,1,21,0,0,0,0,0,6,0,0,24,1,0,2,16,5,0,0,0,23,1,0,3,0,12,0
RM95DH,82,29,66,64,76,10,7,8,15,27,14,7,0,37,18,3,0,10,2,9,3,8,19,8,8,3,3,5,1,0,18,7,3,0,1,1,4,1
RM95DJ,85,24,68,64,83,19,2,14,15,24,13,9,0,44,9,0,2,9,1,16,0,5,14,6,8,3,4,1,2,0,12,9,3,0,3,1,6,4
RM95DL,77,28,54,47,73,12,5,16,8,17,10,16,1,36,19,0,0,0,0,19,0,9,17,2,8,5,7,3,2,1,17,6,5,0,2,5,5,0
RM95DP,112,41,80,74,108,19,12,18,9,32,12,13,1,63,18,6,0,4,2,19,0,8,22,7,10,8,4,3,7,0,23,13,5,0,3,2,10,8
RM95DR,87,35,62,61,84,11,10,14,7,29,14,5,0,37,23,4,6,0,3,12,2,4,20,8,8,1,3,8,6,1,16,13,5,0,1,0,7,1
RM95DS,23,10,19,18,23,6,1,3,4,3,3,2,0,10,1,0,0,0,1,6,3,1,8,5,1,0,2,1,1,0,6,3,1,0,1,0,3,1
RM95DT,145,51,107,103,134,24,15,22,16,47,12,13,0,44,52,3,1,10,1,31,2,16,30,7,19,5,6,12,0,1,30,14,7,0,2,1,10,3
RM95DU,160,55,111,103,155,41,9,38,16,47,25,16,0,92,26,0,0,4,2,33,0,18,31,6,19,9,5,11,4,1,21,18,16,0,2,3,21,6
RM95DX,36,13,26,24,35,8,3,7,7,7,8,3,0,17,7,0,0,6,0,5,1,3,7,2,5,0,3,2,0,0,5,3,5,0,1,1,3,1
RM95EA,70,23,54,52,69,13,4,9,19,17,11,6,1,41,8,1,0,0,4,6,0,2,14,6,5,2,1,5,2,2,11,7,5,0,1,2,6,2
RM95EB,56,19,39,38,53,11,6,10,4,22,5,2,0,19,19,2,7,0,4,3,1,5,12,6,5,0,2,4,2,0,9,6,4,0,1,0,3,0
RM95ED,33,10,20,20,29,9,5,8,3,12,3,1,0,11,8,0,0,11,1,2,0,5,5,2,3,0,1,2,2,0,5,3,2,0,0,0,3,3
RM95EH,135,47,100,93,132,25,7,25,25,36,28,9,0,66,21,3,0,1,2,40,2,14,29,13,12,4,2,10,6,0,27,11,9,0,2,2,7,0
RM95EJ,39,17,36,27,38,2,1,2,4,14,5,9,1,18,19,1,0,0,0,1,0,1,14,3,3,5,4,2,0,0,10,3,4,0,0,3,2,0
RM95EL,34,13,24,24,33,7,3,5,5,12,4,3,0,23,8,0,0,3,0,0,0,4,7,2,6,1,2,2,0,0,5,6,2,0,0,0,6,0
RM95EP,118,40,87,77,107,17,16,15,16,35,18,13,0,60,15,8,3,12,2,10,3,7,22,9,13,5,4,4,3,1,21,9,10,0,2,1,8,4
RM95ER,97,35,73,70,90,15,11,12,8,31,11,9,1,45,13,4,2,15,1,11,0,10,23,9,9,5,3,6,2,0,20,9,6,0,1,3,7,3
RM95ES,113,35,82,78,109,20,9,21,13,42,14,9,0,37,39,3,3,5,0,21,3,10,18,9,12,5,0,4,4,1,16,7,12,0,2,0,10,6
RM95ET,56,18,44,41,52,10,7,5,10,16,5,9,0,19,17,0,3,0,2,11,2,7,11,4,4,4,2,1,3,0,8,3,7,0,1,2,1,0
RM95HH,55,15,36,30,51,16,6,11,11,12,4,5,2,31,3,0,0,7,0,14,0,7,8,2,4,4,0,2,3,0,9,4,2,0,2,1,3,4
RM95HJ,46,20,34,32,43,7,4,7,5,15,5,5,0,31,5,0,1,1,0,5,0,2,13,5,2,3,0,5,3,1,8,10,2,0,4,2,8,4
RM95HL,51,16,33,32,50,14,2,14,6,11,5,7,1,11,20,3,4,0,1,10,0,11,11,2,2,3,3,3,2,1,7,2,7,0,0,1,6,2
RM95HP,90,28,57,57,86,24,9,21,10,27,11,5,0,45,13,0,3,5,3,17,3,10,10,4,12,3,2,1,6,0,8,14,6,0,4,2,7,2
RM95HR,134,55,97,87,128,24,9,26,13,36,13,20,0,78,16,0,0,15,4,11,6,9,39,11,10,10,7,11,6,0,26,21,8,0,3,4,11,6
RM95HS,112,39,77,71,104,25,13,21,10,39,14,7,1,58,18,6,6,2,1,18,3,13,24,12,11,4,1,7,3,0,20,14,4,0,2,0,9,4
RM95HT,31,14,27,23,30,3,1,3,2,6,1,6,0,21,1,0,0,0,0,9,0,3,13,6,1,3,2,2,0,0,9,4,1,0,0,0,4,0
RM95HU,83,29,65,64,80,9,3,14,13,20,18,7,0,53,14,0,3,1,0,8,0,2,21,10,5,4,2,5,2,0,18,6,5,0,1,0,3,3
RM95HX,155,44,102,99,143,33,17,34,21,39,24,15,0,73,43,1,10,0,3,17,2,19,24,11,14,7,1,5,3,2,18,13,13,0,4,1,11,1
RM95JA,82,31,59,53,75,14,9,14,5,21,12,12,0,44,16,5,5,0,0,4,1,8,20,5,9,5,3,7,2,0,20,7,4,0,2,2,6,2
RM95JB,133,43,99,96,128,24,11,20,18,40,16,13,2,63,27,5,4,0,2,28,3,11,26,10,10,6,6,4,6,1,25,8,10,0,2,5,10,5
RM95JD,90,35,62,55,85,22,8,20,8,26,15,9,0,41,19,2,0,3,4,18,0,8,17,3,11,4,2,8,7,0,20,9,6,0,3,1,3,0
RM95JH,66,24,50,47,64,15,3,13,5,22,14,6,0,25,14,6,1,0,0,20,0,9,14,7,6,3,2,2,3,1,15,7,2,0,0,1,3,1
RM95JJ,25,11,17,15,23,4,2,5,2,8,2,3,0,9,9,0,5,0,0,0,2,1,7,3,2,1,1,2,2,0,7,3,1,0,1,0,2,1
RM95JL,115,49,87,84,113,18,8,19,9,32,22,11,0,53,22,8,0,0,2,27,3,4,34,13,10,5,4,12,5,0,26,12,11,0,2,2,11,0
RM95JP,109,40,89,85,104,14,8,11,12,32,17,12,1,63,11,1,6,10,3,6,4,5,29,12,8,4,6,7,1,2,24,11,4,0,0,1,11,2
